"","code","name","pubpriv","enrollment","allvaccs","conditional","medical","religious","dptMiss","polMiss","mmrMiss","hepMiss","varMiss"
"4531",6041016,"MCCOPPIN (FRANK) ELEMENTARY","PUBLIC",51,98.0392156862745,1.96078431372549,0,0,1.96078431372549,1.96078431372549,1.96078431372549,1.96078431372549,1.96078431372549
"5469",6114177,"WILDWOOD ELEMENTARY","PUBLIC",127,96.0629921259843,2.36220472440945,0,1.5748031496063,3.1496062992126,3.93700787401575,3.1496062992126,2.36220472440945,2.36220472440945
"4317",6036768,"ARROWHEAD ELEMENTARY","PUBLIC",40,100,0,0,0,0,0,0,0,0
"4870",6116958,"KID STREET LEARNING CENTER CHARTER","PUBLIC",20,100,0,0,0,0,0,0,0,0
"5029",105700,"MARY LOU DIETERICH ELEMENTARY","PUBLIC",107,95.3271028037383,0.934579439252336,0,3.73831775700935,3.73831775700935,3.73831775700935,4.67289719626168,3.73831775700935,3.73831775700935
"2449",112235,"LOS FELIZ CHARTER SCHOOL FOR THE ARTS","PUBLIC",60,78.3333333333333,0,0,21.6666666666667,21.6666666666667,21.6666666666667,21.6666666666667,21.6666666666667,21.6666666666667
"2288",6025506,"CAMPUS PARK ELEMENTARY","PUBLIC",88,97.7272727272727,0,0,2.27272727272727,2.27272727272727,2.27272727272727,2.27272727272727,2.27272727272727,2.27272727272727
"3176",6020507,"BANDINI ELEMENTARY","PUBLIC",89,98.876404494382,0,0,1.12359550561798,1.12359550561798,1.12359550561798,1.12359550561798,1.12359550561798,1.12359550561798
"370",6120604,"MORGAN/KINCAID PREPARATORY SCHOOL OF INTEGRATED STUDIES","PUBLIC",183,93.4426229508197,6.55737704918033,0,0,3.27868852459016,1.63934426229508,4.91803278688525,2.73224043715847,1.09289617486339
"4435",6039762,"FAY ELEMENTARY","PUBLIC",105,97.1428571428571,1.9047619047619,0,0.952380952380952,0.952380952380952,1.9047619047619,0.952380952380952,1.9047619047619,0.952380952380952
"6179",6964779,"SANTA TERESITA ELEMENTARY","PRIVATE",31,87.0967741935484,12.9032258064516,0,0,0,3.2258064516129,9.67741935483871,0,0
"4808",6102875,"FREDERICK REMINGTON ELEMENTARY","PUBLIC",62,98.3870967741936,1.61290322580645,0,0,0,0,1.61290322580645,0,0
"1058",6115778,"CHULA VISTA LEARNING COMMUNITY CHARTER","PUBLIC",157,94.9044585987261,2.54777070063694,0,2.54777070063694,3.18471337579618,3.18471337579618,3.82165605095541,2.54777070063694,2.54777070063694
"279",6033492,"FRONTIER ELEMENTARY","PUBLIC",79,84.8101265822785,7.59493670886076,0,7.59493670886076,15.1898734177215,11.3924050632911,13.9240506329114,10.126582278481,8.86075949367089
"3279",6020762,"MONTE VISTA ELEMENTARY","PUBLIC",112,100,0,0,0,0,0,0,0,0
"5980",6955967,"WALDORF SCHOOL OF THE PENINSULA","PRIVATE",39,30.7692307692308,25.6410256410256,0,43.5897435897436,66.6666666666667,69.2307692307692,66.6666666666667,61.5384615384615,61.5384615384615
