"","name","pubpriv","reported"
"366","WEST CREEK ELEMENTARY","PUBLIC","Y"
"367","EL MIRAGE","PUBLIC","Y"
"368","ADELANTO ELEMENTARY","PUBLIC","Y"
"369","WESTSIDE PARK ELEMENTARY","PUBLIC","Y"
"370","EAGLE RANCH","PUBLIC","Y"
"371","DESERT TRAILS ELEMENTARY","PUBLIC","Y"
"372","DONALD F. BRADACH ELEMENTARY","PUBLIC","Y"
"373","MORGAN/KINCAID PREPARATORY SCHOOL OF INTEGRATED STUDIES","PUBLIC","Y"
"374","RUBY BRIDGES ELEMENTARY","PUBLIC","Y"
"375","NEA COMMUNITY LEARNING CENTER","PUBLIC","Y"
"376","MAYA LIN","PUBLIC","Y"
"377","DONALD D. LUM ELEMENTARY","PUBLIC","Y"
"378","EDISON ELEMENTARY","PUBLIC","Y"
"379","FRANK OTIS ELEMENTARY","PUBLIC","Y"
"380","FRANKLIN ELEMENTARY","PUBLIC","Y"
"381","HENRY HAIGHT ELEMENTARY","PUBLIC","Y"
"382","WILLIAM G. PADEN ELEMENTARY","PUBLIC","Y"
"383","AMELIA EARHART ELEMENTARY","PUBLIC","Y"
"384","BAY FARM ELEMENTARY","PUBLIC","Y"
"385","CORNELL ELEMENTARY","PUBLIC","Y"
"386","MARIN ELEMENTARY","PUBLIC","Y"
"387","OCEAN VIEW ELEMENTARY","PUBLIC","Y"
"388","ALEXANDER VALLEY ELEMENTARY","PUBLIC","Y"
"389","TIBURCIO VASQUEZ ELEMENTARY","PUBLIC","Y"
"390","ALISAL COMMUNITY","PUBLIC","Y"
"391","BARDIN ELEMENTARY","PUBLIC","Y"
"392","FREMONT ELEMENTARY","PUBLIC","Y"
"393","JESSE G. SANCHEZ ELEMENTARY","PUBLIC","Y"
"394","FRANK PAUL ELEMENTARY","PUBLIC","Y"
"395","VIRGINIA ROCCA BARTON ELEMENTARY","PUBLIC","Y"
"396","JOHN E. STEINBECK ELEMENTARY","PUBLIC","Y"
"397","CESAR E. CHAVEZ ELEMENTARY","PUBLIC","Y"
